DATE,IR3TIB01AUM156N
01-04-02,4.59
01-05-02,4.84
01-06-02,5.07
01-07-02,4.98
01-08-02,4.96
01-09-02,4.92
01-10-02,4.9
01-11-02,4.84
01-12-02,4.83
01-01-03,4.8
01-02-03,4.75
01-03-03,4.76
01-04-03,4.79
01-05-03,4.78
01-06-03,4.67
01-07-03,4.72
01-08-03,4.82
01-09-03,4.91
01-10-03,4.97
01-11-03,5.31
01-12-03,5.47
01-01-04,5.55
01-02-04,5.57
01-03-04,5.51
01-04-04,5.54
01-05-04,5.51
01-06-04,5.49
01-07-04,5.46
01-08-04,5.44
01-09-04,5.42
01-10-04,5.41
01-11-04,5.43
01-12-04,5.41
01-01-05,5.42
01-02-05,5.63
01-03-05,5.81
01-04-05,5.75
01-05-05,5.68
01-06-05,5.66
01-07-05,5.65
01-08-05,5.62
01-09-05,5.62
01-10-05,5.63
01-11-05,5.63
01-12-05,5.63
01-01-06,5.63
01-02-06,5.61
01-03-06,5.61
01-04-06,5.69
01-05-06,5.87
01-06-06,5.96
01-07-06,6.05
01-08-06,6.19
01-09-06,6.21
01-10-06,6.28
01-11-06,6.37
01-12-06,6.39
01-01-07,6.43
01-02-07,6.37
01-03-07,6.43
01-04-07,6.48
01-05-07,6.37
01-06-07,6.42
01-07-07,6.47
01-08-07,6.75
01-09-07,6.94
01-10-07,6.91
01-11-07,7.15
01-12-07,7.29
01-01-08,7.18
01-02-08,7.69
01-03-08,7.9
01-04-08,7.84
01-05-08,7.75
01-06-08,7.81
01-07-08,7.75
01-08-08,7.31
01-09-08,7.27
01-10-08,6.03
01-11-08,4.76
01-12-08,4.39
01-01-09,3.74
01-02-09,3.16
01-03-09,3.16
01-04-09,3.1
01-05-09,3.13
01-06-09,3.25
01-07-09,3.14
01-08-09,3.3
01-09-09,3.37
01-10-09,3.78
01-11-09,3.95
01-12-09,4.13
01-01-10,4.2
01-02-10,4.16
01-03-10,4.33
01-04-10,4.55
01-05-10,4.81
01-06-10,4.89
01-07-10,4.84
01-08-10,4.74
01-09-10,4.82
01-10-10,4.81
01-11-10,5.02
01-12-10,5.03
01-01-11,4.96
01-02-11,4.92
01-03-11,4.92
01-04-11,4.9
01-05-11,5
01-06-11,4.99
01-07-11,4.96
01-08-11,4.86
01-09-11,4.81
01-10-11,4.73
01-11-11,4.62
01-12-11,4.51
01-01-12,4.41
01-02-12,4.37
01-03-12,4.44
01-04-12,4.2
01-05-12,3.66
01-06-12,3.49
01-07-12,3.55
01-08-12,3.62
01-09-12,3.49
01-10-12,3.16
01-11-12,3.24
01-12-12,3.11
01-01-13,3
01-02-13,2.94
01-03-13,3.05
01-04-13,3.02
01-05-13,2.82
01-06-13,2.8
01-07-13,2.76
01-08-13,2.6
01-09-13,2.58
01-10-13,2.58
01-11-13,2.58
01-12-13,2.6
01-01-14,2.62
01-02-14,2.63
01-03-14,2.65
01-04-14,2.68
01-05-14,2.69
01-06-14,2.7
01-07-14,2.65
01-08-14,2.63
01-09-14,2.66
01-10-14,2.72
01-11-14,2.75
01-12-14,2.75
01-01-15,2.7
01-02-15,2.36
01-03-15,2.3
01-04-15,2.25
01-05-15,2.15
01-06-15,2.15
01-07-15,2.14
01-08-15,2.14
01-09-15,2.17
01-10-15,2.15
01-11-15,2.22
01-12-15,2.34
01-01-16,2.3
01-02-16,2.28
01-03-16,2.31
01-04-16,2.26
01-05-16,2
01-06-16,1.99
01-07-16,1.93
01-08-16,1.76
01-09-16,1.73
01-10-16,1.74
01-11-16,1.76
01-12-16,1.78
01-01-17,1.78
01-02-17,1.78
01-03-17,1.79
01-04-17,1.77
01-05-17,1.73
01-06-17,1.72
01-07-17,1.7
01-08-17,1.7
01-09-17,1.72
01-10-17,1.7
01-11-17,1.72
01-12-17,1.77
01-01-18,1.79
01-02-18,1.77
01-03-18,1.93
01-04-18,2.06
01-05-18,1.96
01-06-18,2.07
01-07-18,2.02
01-08-18,1.96
01-09-18,1.93
01-10-18,1.93
01-11-18,1.94
01-12-18,2.02
01-01-19,2.07
01-02-19,1.96
01-03-19,1.83
01-04-19,1.68
01-05-19,1.54
01-06-19,1.29
01-07-19,1.11
01-08-19,0.98
01-09-19,0.98
01-10-19,0.88
01-11-19,0.91
01-12-19,0.9
01-01-20,0.89
01-02-20,0.89
01-03-20,0.53
01-04-20,0.17
01-05-20,0.1
01-06-20,0.1
01-07-20,0.1
01-08-20,0.1
01-09-20,0.09
01-10-20,0.07
01-11-20,0.02
01-12-20,0.02
01-01-21,0.01
01-02-21,0.01
01-03-21,0.03
01-04-21,0.04
01-05-21,0.04
01-06-21,0.03
01-07-21,0.02
01-08-21,0.01
01-09-21,0.01
01-10-21,0.04
01-11-21,0.04
01-12-21,0.06
01-01-22,0.07
01-02-22,0.07
01-03-22,0.17
01-04-22,0.41
01-05-22,1
01-06-22,1.6
01-07-22,2.07
01-08-22,2.31
01-09-22,2.76
01-10-22,2.95
01-11-22,3.06
01-12-22,3.17
01-01-23,3.32
