DATE,IR3TIB01USM156N
01-04-02,1.87
01-05-02,1.82
01-06-02,1.81
01-07-02,1.79
01-08-02,1.73
01-09-02,1.76
01-10-02,1.73
01-11-02,1.39
01-12-02,1.34
01-01-03,1.29
01-02-03,1.27
01-03-03,1.23
01-04-03,1.24
01-05-03,1.22
01-06-03,1.04
01-07-03,1.05
01-08-03,1.08
01-09-03,1.08
01-10-03,1.1
01-11-03,1.11
01-12-03,1.1
01-01-04,1.06
01-02-04,1.05
01-03-04,1.05
01-04-04,1.08
01-05-04,1.2
01-06-04,1.46
01-07-04,1.57
01-08-04,1.68
01-09-04,1.86
01-10-04,2.04
01-11-04,2.26
01-12-04,2.45
01-01-05,2.61
01-02-05,2.77
01-03-05,2.97
01-04-05,3.09
01-05-05,3.22
01-06-05,3.38
01-07-05,3.57
01-08-05,3.77
01-09-05,3.87
01-10-05,4.13
01-11-05,4.31
01-12-05,4.45
01-01-06,4.56
01-02-06,4.72
01-03-06,4.88
01-04-06,5.03
01-05-06,5.15
01-06-06,5.35
01-07-06,5.46
01-08-06,5.38
01-09-06,5.34
01-10-06,5.33
01-11-06,5.32
01-12-06,5.32
01-01-07,5.32
01-02-07,5.31
01-03-07,5.3
01-04-07,5.31
01-05-07,5.31
01-06-07,5.33
01-07-07,5.32
01-08-07,5.49
01-09-07,5.46
01-10-07,5.08
01-11-07,4.97
01-12-07,5.02
01-01-08,3.84
01-02-08,3.06
01-03-08,2.79
01-04-08,2.85
01-05-08,2.66
01-06-08,2.76
01-07-08,2.79
01-08-08,2.79
01-09-08,3.59
01-10-08,4.32
01-11-08,2.36
01-12-08,1.77
01-01-09,1.02
01-02-09,1.16
01-03-09,1.07
01-04-09,0.89
01-05-09,0.57
01-06-09,0.39
01-07-09,0.35
01-08-09,0.3
01-09-09,0.25
01-10-09,0.24
01-11-09,0.21
01-12-09,0.22
01-01-10,0.2
01-02-10,0.19
01-03-10,0.23
01-04-10,0.3
01-05-10,0.45
01-06-10,0.52
01-07-10,0.41
01-08-10,0.32
01-09-10,0.28
01-10-10,0.27
01-11-10,0.27
01-12-10,0.3
01-01-11,0.29
01-02-11,0.28
01-03-11,0.28
01-04-11,0.23
01-05-11,0.21
01-06-11,0.22
01-07-11,0.24
01-08-11,0.29
01-09-11,0.33
01-10-11,0.37
01-11-11,0.41
01-12-11,0.49
01-01-12,0.4
01-02-12,0.3
01-03-12,0.29
01-04-12,0.29
01-05-12,0.29
01-06-12,0.32
01-07-12,0.3
01-08-12,0.26
01-09-12,0.24
01-10-12,0.23
01-11-12,0.23
01-12-12,0.24
01-01-13,0.23
01-02-13,0.22
01-03-13,0.21
01-04-13,0.2
01-05-13,0.2
01-06-13,0.19
01-07-13,0.14
01-08-13,0.12
01-09-13,0.11
01-10-13,0.12
01-11-13,0.12
01-12-13,0.14
01-01-14,0.12
01-02-14,0.13
01-03-14,0.12
01-04-14,0.12
01-05-14,0.11
01-06-14,0.11
01-07-14,0.13
01-08-14,0.13
01-09-14,0.12
01-10-14,0.12
01-11-14,0.13
01-12-14,0.15
01-01-15,0.16
01-02-15,0.15
01-03-15,0.14
01-04-15,0.13
01-05-15,0.15
01-06-15,0.18
01-07-15,0.19
01-08-15,0.26
01-09-15,0.27
01-10-15,0.25
01-11-15,0.3
01-12-15,0.54
01-01-16,0.57
01-02-16,0.54
01-03-16,0.55
01-04-16,0.55
01-05-16,0.57
01-06-16,0.55
01-07-16,0.62
01-08-16,0.73
01-09-16,0.75
01-10-16,0.72
01-11-16,0.71
01-12-16,0.87
01-01-17,0.9
01-02-17,0.87
01-03-17,0.98
01-04-17,1.03
01-05-17,1.05
01-06-17,1.16
01-07-17,1.22
01-08-17,1.25
01-09-17,1.25
01-10-17,1.26
01-11-17,1.32
01-12-17,1.54
01-01-18,1.63
01-02-18,1.78
01-03-18,2.08
01-04-18,2.2
01-05-18,2.16
01-06-18,2.19
01-07-18,2.17
01-08-18,2.19
01-09-18,2.24
01-10-18,2.37
01-11-18,2.56
01-12-18,2.69
01-01-19,2.59
01-02-19,2.49
01-03-19,2.48
01-04-19,2.47
01-05-19,2.44
01-06-19,2.3
01-07-19,2.22
01-08-19,2.06
01-09-19,2.03
01-10-19,1.88
01-11-19,1.77
01-12-19,1.76
01-01-20,1.65
01-02-20,1.59
01-03-20,1.35
01-04-20,1.35
01-05-20,0.17
01-06-20,0.2
01-07-20,0.18
01-08-20,0.15
01-09-20,0.13
01-10-20,0.12
01-11-20,0.16
01-12-20,0.17
01-01-21,0.14
01-02-21,0.11
01-03-21,0.1
01-04-21,0.11
01-05-21,0.1
01-06-21,0.09
01-07-21,0.1
01-08-21,0.1
01-09-21,0.1
01-10-21,0.11
01-11-21,0.14
01-12-21,0.17
01-01-22,0.22
01-02-22,0.38
01-03-22,0.73
01-04-22,0.91
01-05-22,1.33
01-06-22,1.87
01-07-22,2.5
01-08-22,2.76
01-09-22,3.21
01-10-22,3.85
01-11-22,4.46
01-12-22,4.51
01-01-23,4.61
